category
Rent
Electric
SoFi Loans
Mohela Loans
Groceries
Shopping
Restaurants
Entertainment
Transportation
Paid for via Venmo
Card Payments
Netflix
Laundry
Paychecks
Venmo Income
Bakerture
Other
